left,right,up,down,distance,chosen
0,1,1,0,2.356,3
0,1,1,0,2.383,3
0,1,1,0,2.412,3
0,1,1,0,2.442,3
0,1,1,0,2.473,3
0,1,1,0,2.507,3
0,1,1,0,2.542,3
0,1,1,0,2.578,3
0,1,1,0,2.617,3
0,1,1,0,2.657,3
0,1,1,0,2.699,3
0,1,1,0,2.743,3
0,1,1,0,2.789,3
0,1,1,0,2.836,3
0,1,1,0,2.884,3
0,1,1,0,2.934,3
0,1,1,0,2.985,3
0,1,1,0,3.037,3
0,1,1,0,3.089,3
0,1,1,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,3.142,0
0,1,0,0,-0.785,0
0,1,0,0,-0.695,2
0,0,0,1,-0.588,2
0,0,0,1,-0.464,2
0,0,0,1,-0.322,2
0,0,0,1,-0.165,2
0,0,0,1,0.0,1
1,0,0,0,0.0,1
1,0,0,0,0.0,1
1,0,0,0,0.0,1
1,0,0,0,0.0,1
1,0,0,0,0.0,1
1,0,0,0,0.876,1
1,0,0,0,0.983,1
1,0,0,0,1.107,1
1,0,0,0,1.249,1
1,0,0,0,1.406,1
1,0,0,0,1.571,3
0,0,1,0,1.571,3
0,0,1,0,1.571,3
0,0,1,0,1.571,3
0,0,1,0,1.571,3
0,0,1,0,1.571,3
0,0,1,0,-2.015,3
0,0,1,0,-1.997,0
0,1,0,0,-1.959,0
0,1,0,0,-1.92,0
0,1,0,0,-1.879,0
0,1,0,0,-1.837,0
0,1,0,0,-1.794,0
0,1,0,0,-1.751,0
0,1,0,0,-1.706,0
0,1,0,0,-1.661,0
0,1,0,0,-1.616,0
0,1,0,0,-1.571,2
0,0,0,1,-1.571,2
0,0,0,1,-1.571,2
0,0,0,1,-1.571,2
0,0,0,1,-1.571,2
0,0,0,1,-1.571,2
0,0,0,1,-1.571,2
0,0,0,1,-1.571,2
0,0,0,1,-1.571,2
0,0,0,1,-1.571,2
0,0,0,1,-1.571,2
0,0,0,1,-1.571,2
0,0,0,1,-1.571,2
0,0,0,1,-1.571,2
0,0,0,1,-1.571,2
0,0,0,1,-1.571,2
0,0,0,1,-1.571,2
0,0,0,1,-1.571,2
0,0,0,1,-1.571,2
0,0,0,1,-1.571,2
0,0,0,1,-1.571,2
0,0,0,1,-1.571,2
0,0,0,1,1.335,2
